Year,Area,ST 2,STrange HTML
2011,Walsall,"Bridge St,Walsall",
2011,Walsall,"Bridge St,Walsall",
2011,Walsall,"Bridge St,Walsall",
2012,Walsall,"Bridge St,Walsall",
2012,Walsall,"Bridge St,Walsall",
2012,Walsall,"Bridge St,Walsall",
2012,Walsall,"Bridge St,Walsall Town Centre",
2011,NA,"Brisbane Rd, Smethwick",
2011,NA,"Bristol Rd, Northfield",
2011,NA,"Bristol Rd, Selly Oak",
2012,NA,"Bristol Rd South, Northfield",
2011,Birmingham,"Bristol Rd, Birmingham",
2012,NA,"Bristol Rd, Bournville",
2011,NA,"Bristol Rd, Edgbaston",
2011,NA,"Bristol Rd, Selly Oak",
2011,NA,"Bristol Rd, Selly Oak",
2011,NA,"Bristol Rd, Selly Oak",
2012,NA,"Bristol Rd, Selly Oak",
2011,NA,"Bristol Rd South, Northfield",
2011,NA,"Bristol Rd South, Selly Oak",
2011,Birmingham,"Bristol St, Birmingham City Centre",
2012,NA,"Bristol St, City Centre",
2011,NA,"British Oak Public House ,High Rd,Willenhall",
2012,Birmingham,"Brd City, Birmingham",
2011,NA,"Brd Ln Gardens, Bloxwich",
2011,NA,"Brd St, Bham",
2011,NA,"Brd St, Bham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,Birmingham,"Brd St, Birmingham",
2012,NA,"Brd St, City Centre",
2012,NA,"Brd St, City Centre",
2011,NA,"Brd St,  Bham",
2011,NA,"Brd St,  Bham",
2011,NA,"Brd St,  Bham",
2011,NA,"Brd St,  Bham",
2011,NA,"Brd St,  Bham",
2011,NA,"Brd St,    Bham",
2011,Wolverhampton,"Brd St, Wolverhampton",
2011,NA,"Brd St, Wolves.",
2011,NA,"Brd St, Wolves.",
2011,NA,"Brd St @ Gas St, City Centre",
2012,NA,"Brd St,",
2012,NA,"Brd St,",
2012,NA,"Brd St,",
2011,NA,"Brd St,City Centre",
2011,NA,"Brd St,City Centre",
2011,NA,"Brd St,City Centre",
2012,NA,"Brd St,City Centre",
2011,NA,"Brd St, B'Ham",
2011,NA,"Brd St, B'Ham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
2011,Birmingham,"Brd St, Birmingham",
