Year,Area,ST 2,STrange HTML
2011,NA,"Odeon Cinema , Merry Hill",
2011,Birmingham,"Off Birmingham Rd, Rowley Regis",
2011,Birmingham,"Oh Bar, Brd St, Birmingham",
2011,NA,"Oldbury Rd, Carpark Of Bulls Head",
2011,NA,"Opposite, Aldi, Stratford Rd",
2012,Solihuil,"Os Assembly Rooms, Poplar Rd, Solihull",
2011,NA,"Os Assembly Rooms , Poplar Rd",
2011,NA,"Os Lg Arena, Nec Complex",
2012,Solihuil,"Os Masons Ph, High St Solihull",
2011,NA,"Ourtside Royal Pub, Lichfield Rd, Sutton Coldfield",
2011,Wolverhampton,"Oustide Yates, Wolverhampton",
2012,NA,"Outside Arcadia Centre, City Centre",
2012,NA,"Outside Bagot Arms, Chester Rd, Pype Hayes",
2011,NA,"Outside Bliss,Brd St",
2012,NA,"Outside Bliss,Brd St",
2012,NA,"Outside City View, Erdington",
2011,NA,"Outside Comrade Tavern, Oldbury Rd, Smethwick",
2011,NA,"Outside Comrades Club, Smethwick",
2011,NA,"Outside Glendale Tower, Lyndhurst Estate",
2012,NA,"Outside Goose Public House, Bristol Rd, Selly Oak",
2012,Wolverhampton,"Outside Gorgeous Bar, School St, Wolverhampton",
2012,NA,"Outside Hiry Lemon, Sutton Town Crntr",
2012,Birmingham,"Outside Litten Tree, Birmingham Rd",
2011,Birmingham,"Outside Litten Tree Pub, Birmingham Rd, Sutton Coldfield`",
2011,NA,"Outside Moo Moo Club, Town Centre, Sutton Coldfield",
2011,NA,"Outside Moo Moo Night Club, South Parade",
2012,NA,"Outside Moomoo'S Bar, South Parade, Sutton Coldfield",
2012,NA,"Outside Moomoo'S Bar, South Parade, Sutton Coldfield.",
2012,Birmingham,"Outside New St Station, Birmingham City Centre",
2011,Coventry,"Outside Of The Jewson Stand, Richo Arena, Coventry",
2011,NA,"Outside O Velvet, Brd St.",
2012,NA,"Outside Retro Bar, Lichfield Rd",
2011,Walsall,"Outside Retro Bar, Lichfield St, Walsall",
2012,NA,"Outside St Colombia Nursery ,Alcester Rd",
2011,Wolverhampton,"Outside Subway Sandwich Shop, Queens Square, Wolverhampton",
2012,NA,"Outside Temple Bar, Lower Parade, Sutton Coldfield",
2011,NA,"Outside Temple Parade, Lower Parade",
2011,NA,"Outside The Clock Ph, Clock Ln",
2012,NA,"Outside The Swan Public House, High St, Erdington",
2011,NA,"Outside The Temple Bar, Lower Parade, Sc",
2012,NA,"Outside The Temple Bar, Sutton Coldfield Town Centre.",
2011,NA,"Outside The Travellers Rest, Great Bridge Rd, Moxley",
2012,Walsall,"Outside Vogue Nightclub,Walsall",
2011,NA,"Outside Walkabout,Brd St",
2012,NA,"Outside Ws1, Bridge St",
2011,Wolverhampton,"Outside Yates, North St, Wolverhampton",
2012,Coventry,"Oxford St, Coventry",
2012,NA,"Oxford St, Digbeth",
2012,Birmingham,"Oxhill Rd, Handsworth, Birmingham",
2011,NA,"Packington Ave, Shard End",
2011,Coventry,"Palmer Ln , Coventry.",
2011,Coventry,"Palmer Ln , Coventry.",
2011,Coventry,"Palmer Ln , Coventry.",
2011,NA,"Palm Tree Ave, Wood End",
2011,NA,"Parade, Sutton Coldfield",
2011,NA,"Parade, Sutton Coldfield",
2012,NA,"Parade, Sutton Coldfield",
2011,NA,"Parade, Sutton Town Centre",
2012,Birmingham,"Paradise Circus, Birmingham",
2012,NA,"Paradise Circus, City Centre",
2011,Birmingham,"Paradise Forum, Victoria Square, Birmingham",
2011,Birmingham,"Paradise Forum ,Birmingham.",
2012,Walsall,"Park, Union St, Walsall",
2012,NA,"Parker St, Edgbaston",
2011,NA,"Parkeston Crescent, Kinsgatnding, B'Ham",
2011,NA,"Park Rd, Smethwick",
2012,Wolverhampton,"Park Rd East, Whitmore Reans, Wolverhampton",
2012,NA,"Pedmore Rd,Lye",
2011,NA,"Peel Close, Willenhall",
2012,NA,"Pelsall Labour Club, Church Rd",
2011,NA,"Pelsall Ln, Pelsall",
2011,NA,"Penn Rd, Wolves",
2011,Coventry,"Penruddick Drive, Coventry",
2012,NA,"Pensilva Close, Hillfields",
2011,NA,"Pershore Rd South, Kings Norton",
2012,NA,"Pershore St, City Centre",
2011,NA,"Pershore St, City Centre.",
2012,NA,"Pershore St, City Centre.",
2011,NA,"Pershore St Rd, City Centre",
2012,NA,"Pheasant Pub, Wednesfield",
2011,NA,"Pipers Row, W'Ton.",
2011,Wolverhampton,"Pipers Row, Wolverhampton",
2011,Birmingham,"Pizza Hut, New St, Birmingham",
2012,Wolverhampton,"Platform 1, Wolverhampton Railway Station",
2012,Birmingham,"Platform 7, Birmingham New St",
2012,NA,"Plume Of Feathers Public House, Stratford Rd, Shirley",
2012,NA,"Plymouth Rd, Stirchley",
2011,NA,"Poole Crescent, Harborne",
2012,Coventry,"Pool Meadow Bus Station , Coventry.",
2012,Coventry,"Pool Meadow Police Station, Coventry",
2012,Solihuil,"Poplar Ave ,Solihull.",
2012,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd, Solihull",
2012,Solihuil,"Poplar Rd, Solihull",
2012,Solihuil,"Poplar Rd, Solihull",
2012,Solihuil,"Poplar Rd, Solihull",
2012,Solihuil,"Poplar Rd, Solihull",
2012,Solihuil,"Poplar Rd, Solihull",
2011,Solihuil,"Poplar Rd , Solihull",
2011,Solihuil,"Poplar Rd Solihull, West Midlands",
2011,Solihuil,"Poplar Way, Solihull",
2011,Coventry,"Poppy Court, Remembrance Rd, Willenhall, Coventry",
2011,NA,"Portland Rd, Warley",
2012,NA,"Pound Rd, Oldbury",
2012,NA,"Pound Rd, Oldbury",
2011,NA,"Powell St, Woolverhampton",
2012,NA,"Powke Ln, Oldbury",
2012,NA,"Premier Inn, Great Park",
2012,NA,"Premier Inn, Stratford Rd",
2011,Coventry,"Primrose Hill St ,Coventry.",
2011,NA,"Prince Charles Pub,Bushbury",
2011,NA,"Princess Rd, Old Hill",
2012,Wolverhampton,"Princess Square, Wolverhampton.",
2011,NA,"Princess St, Wton",
2011,Walsall,"Princess St,Walsall",
2011,Coventry,"Priory Fields, Coventry",
2011,NA,"Priory Rd, Hall Green",
2011,Dudley,"Priory St,Dudley",
2011,NA,"Probert Rd, Wton",
2011,NA,"Prosser St, Wolves",
2012,NA,"Putney Rd, Handsworth",
2011,NA,"Pype Hayes Rd, Pype Hayes, B'Ham",
2011,NA,"Pype Hayes Rd, Pype Hayes, B'Ham",
2011,NA,"Pype Hayes Rd, Pype Hayes, B'Ham",
2011,Coventry,"Queen Mary'S Rd ,Foleshill ,Coventry.",
2012,Walsall,"Queen Public House,Walsall",
2011,NA,"Queen Sq, Wton",
2011,Wolverhampton,"Queen Square, Wolverhampton",
2011,Wolverhampton,"Queen Square, Wolverhampton",
2011,NA,"Queen Square, Wton",
2011,Wolverhampton,"Queen Squsre, City Centre, Wolverhampton",
2012,NA,"Queen St, Darlaston",
2012,NA,"Queen St, W'Ton.",
2011,NA,"Queen St, W•__•Ton",
2011,Wolverhampton,"Queen St, Wolverhampton",
2011,Wolverhampton,"Queen St, Wolverhampton",
2011,Wolverhampton,"Queen St, Wolverhampton",
2012,Wolverhampton,"Queen St, Wolverhampton",
2012,Wolverhampton,"Queen St, Wolverhampton",
2012,Wolverhampton,"Queen St, Wolverhampton",
2012,Wolverhampton,"Queen St, Wolverhampton",
2012,Wolverhampton,"Queen St, Wolverhampton.",
2012,Wolverhampton,"Queen St, Wolverhampton.",
2012,NA,"Queens Rd, Smethwick",
2012,NA,"Queens Sqaure, Wolves.",
2012,NA,"Queens Square, W'Ton.",
2011,Wolverhampton,"Queens Square, Wolverhampton",
2011,Wolverhampton,"Queens Square, Wolverhampton",
2012,Wolverhampton,"Queens Square, Wolverhampton",
2012,Wolverhampton,"Queens Square, Wolverhampton",
2012,Wolverhampton,"Queens Square, Wolverhampton",
2012,Wolverhampton,"Queens Square, Wolverhampton",
2012,NA,"Queens Square, Wolves.",
2012,Wolverhampton,"Queens St, Wolverhampton",
2012,Birmingham,"Queens Way, Birmingham City Centre",
2011,NA,"Queslett Rd, Stly",
2012,NA,"Queslett Rd, Great Barr",
2012,NA,"Radlow Crescent, Marston Green",
2011,NA,"Rag Market, City Centre",
2012,NA,"Ragland Rd, Smethwick",
2012,Birmingham,"Rainbow Bar, Digbeth, Birmingham",
2011,Walsall,"Raleigh St, Walsall",
2012,Wolverhampton,"Rayleigh Rd, Pennfields, Wolverhampton",
2012,Wolverhampton,"Rayleigh Rd, Pennfields, Wolverhampton",
2012,NA,"Rea  St, Digbeth",
2012,NA,"Rea St, City Centre",
2011,NA,"Rear Of Boots, High St",
2012,NA,"Rear Of Clique, Hale St",
2012,Coventry,"Rear Yard, Coventry Central Police Station",
2012,NA,"Reception Area Of Ibis Hotel, Ladywell Walk",
2012,NA,"Rectory Rd, Sutton Coldfield",
2011,NA,"Reddings Ln, Tsyley",
2012,NA,"Red Lion Pub, Amos Ln",
2012,NA,"Redwing Grove, Erdington, B'Ham",
2012,NA,"Redwing Grove, Erdington, B'Ham",
2012,NA,"Redwing Grove, Erdington, B'Ham",
2012,NA,"Redwing Grove, Erdington, B'Ham",
2012,NA,"Redwing Grove, Erdington, B'Ham",
2012,NA,"Redwing Grove, Erdington, B'Ham",
2012,NA,"Redwing Grove, Erdington, B'Ham",
2011,Birmingham,"Reflex On Brd St, Birmingham",
2012,NA,"Regent Rd, Tividale",
2011,NA,"Resovoir Rd, Oldbury",
2012,Walsall,"Retro Bar, Lichfield St Walsall",
2011,NA,"Richmond Primary Care Centre, Richmond Rd, Stechford",
2012,NA,"Richmond Rd, Stechford",
2011,Coventry,"Richo Arena, Coventry",
2011,Coventry,"Ridgethorpe, Willenhall, Coventry",
2012,NA,"Ridgeway, Erdington",
2011,NA,"Rileys Square, Bell Green",
2011,NA,"Ring Rd, Stourbridge",
2011,NA,"Ring Rd, Stourbridge",
2011,NA,"Ring Rd ,  Stourbridge.",
2011,NA,"Ring Rd St Georges, Wolves.",
2011,NA,"Risa,Brd St",
2011,Birmingham,"Risa Bar, Birmingham",
2012,Birmingham,"Rococco, Brd St, Birmingham",
2011,Coventry,"Roland Ave ,Holbrooks ,Coventry.",
2011,NA,"Rookery Park, Pensnett",
2011,NA,"Rookery Rd, Handsworth",
2012,Coventry,"Roseberry Ave, Coventry",
2011,NA,"Rosehill, Willenhall",
2011,NA,"Rose Rd, Harborne",
2011,Birmingham,"Rottersley St, Birmingham",
2011,NA,"Rotunda Island, City Centre",
2012,NA,"Royal Chicken, Horsley Heath",
2011,NA,"Royal London P/H,Wolves City Centre.",
2012,NA,"Runcurn Rd, Balsall Heath",
2012,NA,"Rushden St, Ladywood",
2012,Walsall,"Rutherford Rd, Reedswood, Walsall",
2011,Walsall,"Sadler Centre, Walsall",
2011,NA,"Sainsburys, Frankley Beeches Rd, Northfield",
2011,NA,"Sainsburys, Wawrick Rd",
2011,Coventry,"Sainsburys ,Trinity St ,Coventry.",
2011,Wolverhampton,"Salop St, Wolverhampton",
2011,NA,"Salop St, Wolves.",
2012,NA,"Samuel Vale House, St Nicholas St",
2012,NA,"Samuel Vale House, St Nicholas St",
2012,NA,"Sandon Rd, Edgbaston",
2012,Sandwell,"Sandwell Hospital All Saints Way ,.",
2012,NA,"School St, Wolves.",
2011,NA,"School St, Wton",
2012,Wolverhampton,"School St, City Centre, Wolverhampton",
2011,NA,"School St, W'Ton.",
2011,NA,"School St, W•__•Ton",
2012,Wolverhampton,"School St, Wolverhampton",
2011,Birmingham,"Sense Nightclub, Arcadia, Birmingham",
2011,NA,"Shakespeare Bar, New St Station.",
2011,NA,"Shakespeare Ph, New St Station",
2011,NA,"Shannon Rd, Kings Norton",
2011,Birmingham,"Sheepcote St, Birmingham",
2012,Birmingham,"Sherlock St, Birmingham",
2012,NA,"Shirley Rd, Acocks Green.",
2011,Coventry,"Silver St ,Coventry.",
2011,NA,"Sioho Rd, Handsworth",
2011,NA,"Sir Hiltons Rd, West Heath",
2011,Coventry,"Skydome, Coventry",
2011,Coventry,"Skydome, Coventry",
2011,Coventry,"Skydome , Coventry.",
2011,Coventry,"Skydome Complex, Coventry",
2012,Coventry,"Skydome Concourse, Coventry.",
2012,Coventry,"Skydome Concourse, Coventry City Centre",
2011,Coventry,"Skydome Concourse ,Coventry",
2012,Coventry,"Skydome Concourse ,Coventry.",
2012,Coventry,"Skydome Concourse ,Coventry.",
2011,Coventry,"Sky Dome, Coventry",
2012,Coventry,"Sky Dome, Coventry",
2011,Coventry,"Sky Dome, Coventry City Centre",
2011,NA,"Slade Rd, Erdington",
2011,NA,"Slade Rd, Erdington, B'Ham",
2011,NA,"Slade Rd, Erdington, B'Ham",
2011,NA,"Smallbrook Queensway,City Centre",
2012,Birmingham,"Smallbrook Queensway, Birmingham",
2012,NA,"Small Brook, Queensway",
2011,NA,"Smethwick High St, Outside Red Cow",
2012,NA,"Smithy Hotel, Hagley Rd",
2011,Birmingham,"Soho Hill, Handsworth, Birmingham",
2012,NA,"Soho Rd, Handsworth",
2012,NA,"Somerset Rd, Erdington",
2011,NA,"Sommerfield Park, Winson Green",
2011,NA,"Soth Parade, Sutton Coldfield",
2011,NA,"Soth Parade, Sutton Coldfield",
2011,Coventry,"Southbank Rd ,Coventry.",
2011,NA,"South Parade, Sutton Coldfield",
2011,NA,"South Parade, Sutton Coldfield",
2011,NA,"South Parade, Sutton Coldfield",
2011,NA,"South Parade, Sutton Coldfield",
2011,NA,"South Parade, Sutton Coldfield",
2011,NA,"South Parade, Sutton Coldfield",
2011,NA,"South Parade, Sutton Coldfield",
2011,NA,"South Parade, Sutton Coldfield",
2011,NA,"South Parade, Sutton Coldfield",
2011,NA,"South Parade, Sutton Coldfield",
2011,NA,"South Parade, Sutton Coldfield",
2012,NA,"South Parade, Sutton Coldfield",
2012,NA,"South Parade, Sutton Coldfield",
2012,NA,"South Parade, Sutton Coldfield",
2012,NA,"South Parade, Sutton Coldfield",
2012,NA,"South Parade, Sutton Coldfield",
2012,NA,"South Parade, Sutton Coldfield",
2012,NA,"South Parade, Sutton Coldfield",
2012,NA,"South Parade, Sutton Coldfield",
2012,NA,"South Parade, Sutton Coldfield",
2012,Birmingham,"South Parade, Sutton Coldfield, Birmingham",
2011,NA,"South Parade, Sutton Town Centre",
2011,NA,"South Parade, Town Centre, Sutton Coldfield",
2011,NA,"South Parade •__• Town Centre, Sutton Coldfield",
2012,NA,"South Parades, Sutton Coldfield",
2011,NA,"South Rd,Stourbridge",
2012,NA,"Spiceal St, Bullring",
2011,Coventry,"Spon End, Coventry",
2012,NA,"Spon Ln, West Bromwich",
2011,Coventry,"Spon St ,Coventry",
2011,Coventry,"Spon St ,Coventry.",
2012,Coventry,"Spon St, Coventry",
2012,Coventry,"Spon St, Coventry",
2012,Coventry,"Spon St, Coventry",
2012,Coventry,"Spon St , Coventry.",
2012,NA,"Springfield Rd, Blackheath",
2012,Walsall,"Spring Rd, Shelfield, Walsall",
2011,NA,"Square Peg,Corporation St",
2012,NA,"Stafford Rd, Oxley.",
2011,Wolverhampton,"Stafford Rd, Wolverhampton",
2011,NA,"Stafford St, Wton",
2011,Wolverhampton,"Stafford St, Wolverhampton.",
2011,NA,"Stanley St, Bloxwich",
2011,NA,"Star City, Aston.",
2011,Birmingham,"Star City, Birmingham",
2012,Birmingham,"Star City, Birmingham",
2011,NA,"Star City, Nechells",
2011,NA,"Station Rd, City Centre",
2012,Solihuil,"Station Rd, Solihul",
2012,Solihuil,"Station Rd, Solihul",
2012,Solihuil,"Station Rd, Solihul",
2012,Solihuil,"Station Rd, Solihul",
2012,Solihuil,"Station Rd, Solihul",
2012,Solihuil,"Station Rd, Solihul",
2011,Solihuil,"Station Rd, Solihull",
2011,Solihuil,"Station Rd, Solihull",
2012,Solihuil,"Station Rd, Solihull.",
2012,Coventry,"Station Square, Coventry",
2012,Coventry,"Station Square, Coventry",
2012,Coventry,"Station Square, Coventry",
2011,Birmingham,"Station Way, Birmingham International Rail Station",
2011,Birmingham,"Steelhouse Ln, Birmingham",
2011,Birmingham,"Steelhouse Ln, City Centre, Birmingham",
2011,NA,"Steel Park Ln, Wton",
2012,NA,"Stephenson Ave, Beechdale",
2011,Birmingham,"Stephenson St, Birmingham City",
2011,NA,"Stephenson St, City Centre",
2011,Wolverhampton,"St Georges Parade, Wolverhampton",
2011,Wolverhampton,"St Georges Parade, Wolverhampton",
2011,NA,"St Georges Rd, Stoke",
2012,Wolverhampton,"St Marks Rd, Wolverhampton",
2012,NA,"St Martins Church, Bullring",
2012,NA,"St Martins Church, Bullring",
2012,NA,"St Martins Square, City Centre",
2011,NA,"St Mary'S Rd, Moseley",
2012,NA,"St Mary'S Row, Moseley",
2012,NA,"St Mary & St John Social Club, Gravelly Hill North",
2011,NA,"St Michaels St, West Brom",
2011,NA,"St Micheals St, West Bromwich",
2011,Walsall,"St Pauls, Brooke St Arcade Walsall",
2012,NA,"St Pauls Rd, Smethwick.",
2012,Wolverhampton,"St Peter'S Square, Wolverhampton",
2012,NA,"St Peters Gardens, Lichfield St, W•__•Ton",
2012,NA,"St Phillips Churchyard, Temple Row",
2012,Coventry,"St Thomas Rd, Longford, Coventry",
2011,NA,"Stone Rd, Edgbaston",
2011,Coventry,"Stoney Stanton Rd Police Station, Coventry",
2011,NA,"Stourbridge Rd, Lye",
2011,NA,"Stourbridge Rd, Brierley Hill",
2011,NA,"Stourbridge Rd, Brierley Hill",
2011,Birmingham,"Stratford Heath, Spark Hill, Birmingham",
2011,NA,"Stratford Rd, Hall Green",
2012,NA,"Stratford Rd, Sparkbrook",
2012,NA,"Stratford Rd, Sparkhill",
2011,Birmingham,"Stratford Rd ,Sparkbrook ,Birmingham.",
2011,NA,"Stuart Rd, Stechford",
2012,NA,"Suffolk St Queensway, City Centre",
2011,NA,"Sugar Suite, Brd St",
2012,NA,"Summerfield Rd, Weoley Castle",
2012,NA,"Summer Row,City Centre",
2012,Birmingham,"Summer Row, Birmingham",
2012,Birmingham,"Summer Row, Birmingham",
2012,NA,"Sutton New Rd, Erdington",
2012,NA,"Sutton New Rd, Erdington",
2012,NA,"Sutton New Rd, Erdington",
2012,NA,"Sutton New Rd, Erdington",
2012,NA,"Sutton New Rd, Erdington",
2012,NA,"Sutton New Rd, Erdington",
2011,NA,"Sutton New Rd, Erdington, B'Ham",
2011,NA,"Sweetman St, Wton",
2012,NA,"Sycamore Rd, Erdingon",
2011,NA,"Sycamore Rd, Smethwick`",
2012,NA,"Tamworth Close, Brownhills",
2012,NA,"Tamworth Rd, Sutton Coldfield",
2012,NA,"Tangmere Drive, Castle Vale",
2011,NA,"Tanhouse Ave, West Bromwich",
2012,Walsall,"Tantarra St, Walsall",
2012,Coventry,"Tanyard Close ,Tanyard Farm ,Coventry.",
2011,Coventry,"Tarquin Close, Coventry",
2011,NA,"Terrace Rd, Handsworth",
2011,Coventry,"Terry Rd, Coventry",
2011,Walsall,"Tesco, Littleton St, Walsall",
2011,Walsall,"Tesco'S Express, Walsall Rd, Four Oaks, Sutton Coldfield",
2012,NA,"Tesco Express, Selly Oak",
2012,NA,"Tesco Store, Wisemore",
2012,NA,"Tescos, Aston",
2012,NA,"Tescos, New St",
2011,Walsall,"The Bridge, Walsall",
2012,NA,"The Bullring,",
2012,Coventry,"The Castle Pub, Little Park St ,Coventry.",
2012,NA,"The Crab Mill,Hagley Rd,Stourbridge",
2011,NA,"The Fold, Kings Norton",
2012,NA,"The Forge, Cradley Heath",
2011,Coventry,"The Forum Medical Centre, Coventry",
2012,NA,"The Gardens, Erdington",
2011,NA,"The Goose Public House, High St",
2011,NA,"The Goose Public House, West Bromwich",
2012,Birmingham,"The Green House, Four Oaks, Birmingham",
2012,NA,"The Green House, Four Oaks, Sutton Coldfield",
2012,NA,"The Navigation Public House, Kings Norton",
2011,Birmingham,"The Parade, Birmingham Rd, Sutton Coldfield",
2011,NA,"The Parade, Sutton Coldfield",
2011,NA,"The Parade, Sutton Coldfield",
2011,NA,"The Parade, Sutton Coldfield",
2011,NA,"The Parade, Sutton Coldfield",
2011,NA,"The Parade, Sutton Coldfield",
2011,NA,"The Parade, Sutton Coldfield",
2011,NA,"The Parade, Sutton Coldfield",
2012,NA,"The Parade, Sutton Coldfield",
2012,NA,"The Parade, Sutton Coldfield",
2012,NA,"The Parade, Sutton Coldfield",
2012,NA,"The Parade, Sutton Coldfield",
2012,NA,"The Parade, Sutton Coldfield",
2012,NA,"The Parade, Sutton Coldfield",
2012,NA,"The Parade, Sutton Coldfield",
2012,NA,"The Parade, Sutton Coldfield",
2012,NA,"The Parade, Sutton Coldfield.",
2011,NA,"The Parade, Sutton Town Centre",
2011,NA,"The Parade Queensway, City  Centre.",
2011,Birmingham,"The Ramp, Corporation St, Birmingham",
2012,Birmingham,"The Review Bar, Arcadian, Birmingham",
2011,NA,"The Royal Oak Public House, Pershore Rd",
2011,NA,"The Swan Public House, Kingswinford",
2011,NA,"The Varsity, City Centre",
2012,NA,"Thimblemill Rd, Smethwick",
2012,NA,"Thimblemill Rd, Smethwick",
2011,Birmingham,"Thornhill Rd, Birmingham",
2011,NA,"Thornhill Rd, Handsworth",
2012,NA,"Three Crowns Ph, Woodcross",
2012,NA,"Three Horseshoes, Sheldon",
2012,NA,"Three Shires Oak Rd, Bearwood",
2011,NA,"Three Shires Oak Rd, Smethwick",
2011,NA,"Titford Rd, Oldbury",
2012,NA,"Tote Betting Shop, Alum Rock Rd",
2012,NA,"Tower Rd, Tividale",
2012,Dudley,"Tower St, Dudley",
2011,Dudley,"Tower St, Dudley",
2012,Dudley,"Tower St, Dudley",
2011,Wolverhampton,"Train Station, Wolverhampton",
2011,NA,"Tram Lines, West Bromwich",
2012,Birmingham,"Travelodge, Birmingham Rd",
2012,Birmingham,"Travelodge Birmingham Rd,Walsall",
2012,NA,"Treetops Drive, Willenhall",
2012,Dudley,"Trident Centre, Dudley",
2011,NA,"Turners Pallets, Hayhole Rd",
2012,NA,"Turnhouse Rd, Castle Vale",
2012,NA,"Umberslade Rd, Selly Oak",
2012,NA,"Union St, City Centre",
2012,Walsall,"Union St, Walsall, Rear Of Croft House",
2012,Coventry,"Unniversity Hospital, Coventry",
2011,Coventry,"Unniversity Of Warwick, Coventry",
2011,Birmingham,"Upper Dean St, Birmingham",
2012,Birmingham,"Upper Dean St, Birmingham",
2011,Birmingham,"Upper Dean St, Birmingham City Centre",
2011,NA,"Upper Dean St, City Centre",
2011,Walsall,"Varsisty , Leicester St Walsall",
2012,NA,"Vauxhall Rd, Neachells",
2012,NA,"Vauxhall Rd, Neachells",
2012,NA,"Vernon Way,Bloxwich,Carpark Of Sneyd Public House",
2012,NA,"Vicarage Rd,Handsworth",
2012,NA,"Vicarage Rd, Kinghs Heath",
2011,NA,"Vicarage Rd, Kings Heath",
2012,Wolverhampton,"Vicarage Rd, Wolverhampton",
2011,NA,"Vicarage Rd, Wton",
2012,NA,"Vicarge Rd, Edgbaston",
2011,NA,"Victoria Ave, Bloxwich.",
2012,NA,"Victoria Park, Tipton",
2012,NA,"Victoria Rd, Bordesley Green",
2012,NA,"Victoria Rd, Sutton Coldfield",
2011,NA,"Victoria Rd, Wfield, Wton",
2011,NA,"Victoria Rd, Wfield,Wton",
2011,NA,"Victoria Square, City Centre.",
2011,NA,"Victoria Square,  Bham",
2012,Birmingham,"Victoria Square Step, Birmingham",
2011,NA,"Victoria St, Stoubridge",
2011,NA,"Victoria St, W•__•Ton",
2011,Wolverhampton,"Victoria St, Wolverhampton",
2011,Wolverhampton,"Victoria St, Wolverhampton",
2012,Wolverhampton,"Victoria St, Wolverhampton",
2011,Walsall,"Village Hotel, Walsall",
2012,NA,"Villa Rd,Lozells",
2011,Wolverhampton,"Villiers Ave, Wolverhampton",
2011,NA,"Vineyard Rd, Northfield",
2011,Dudley,"W'Ton St, Dudley",
2011,Dudley,"W'Ton St, Dudley",
2011,NA,"Waiverley Park,Handsworth",
2011,NA,"Walkabout, Brd St",
2011,Birmingham,"Walkabout Ph, Brd St, Birmingham",
2011,Birmingham,"Walkabout Ph, Brd St, Birmingham",
2011,NA,"Wallace Rd, Bradley",
2012,Wolverhampton,"Wallace Rd, Wolverhampton",
2012,NA,"Wallface, West Bromwich",
2011,Walsall,"Walsall Bus Station, St Pauls.",
2012,Walsall,"Walsall Police Station Car Park, Green Ln",
2011,Walsall,"Walsall Rd,  Great Barr",
2011,Walsall,"Walsall Rd, Perry Barr",
2011,Walsall,"Walsall St, Bilston.",
2011,NA,"Walsh Drive, Walmley, Sutton Coldfield",
2011,NA,"Wanderers Ave, Blakenhall",
2011,NA,"Wanderers Ave, Wton",
2011,NA,"Ward B3, Rhh",
2011,NA,"Warley Mags Court, Oldbury Ringway",
2011,NA,"Warnford Walk, Merry Hill, W•__•Ton",
2011,Solihuil,"Warwick Rd, Solihull",
2011,Solihuil,"Warwick Rd, Solihull",
2012,NA,"Warwick Rd, Accocks Green",
2011,Solihuil,"Warwick Rdf, Solihull",
2011,NA,"Washington Drive, Handsworth Wood",
2011,NA,"Washwood Heath Rd, Washwood Heath, Bham",
2011,NA,"Waterfall Ln,Cradley Heath",
2011,NA,"Waterfall Ln,  Cradley Heath",
2011,NA,"Waterfall Ln,  Cradley Heath",
2011,NA,"Waterloo Rd, Smethwick",
2011,Birmingham,"Watery Ln Middleway, Birmingham",
2011,NA,"Watford Rd, Cotteridge",
2012,NA,"Watson Rd, Alum Rock",
2011,NA,"Watton St, West Bromwich",
2011,NA,"Waverhill Park, Handsworth",
2012,NA,"Waverhill Park, Handsworth",
2011,NA,"Waverhill Rd, Handsworth",
2012,Walsall,"Wednesbury Rd, Walsall",
2011,NA,"Wednesfield High St, Wolves.",
2012,Birmingham,"Wellington Crescent, Handsworth, Birmingham",
2011,NA,"Welshfarm Rd, Quinton",
2012,NA,"West Ave, Handsworth Wood",
2011,Walsall,"West Bromwich Rd, Walsall",
2011,Walsall,"West Bromwich Rd, Walsall",
2011,NA,"Westley Rd, Acocks Green",
2012,NA,"Wheatcroft Rd, Chelmesley Wood",
2012,Coventry,"Wheatsheaf, Coventry Rd.",
2012,Coventry,"Wheatsheaf Ph Coventry Rd, Sheldon",
2012,Wolverhampton,"Wheelers Fold, City Centre, Wolverhampton.",
2011,NA,"Whiteheart Pub, Gressell Ln",
2011,NA,"White Oaks St, Wton",
2012,NA,"Whitmore St, Bordesley Green",
2011,Wolverhampton,"Willenhall Rd, East Park, Wolverhampton",
2011,NA,"Willenhall Rd, Jtn Deans Rd, Wton",
2012,NA,"Willetts Rd, Turves Green",
2012,NA,"William Hill, Wylde Green",
2011,NA,"William Hill Bookmakers, Washwood Heath Rd",
2011,NA,"William Hill Bookmakers, Washwood Heath Rd",
2012,NA,"William Hill Bookmakers, Washwood Heath Rd",
2011,Dudley,"Windmill End, Dudley",
2011,NA,"Windsor House, Jarvis Rd, Erdington",
2012,Walsall,"Wisemoor St, Walsall",
2012,Walsall,"Wisemore, Walsall Town Centre.",
2011,NA,"Witton Lodge Rd, Erdington",
2012,NA,"Witton Lodge Rd, Erdington",
2011,Wolverhampton,"Wolverhampton Rd, Oldbury",
2011,Wolverhampton,"Wolverhampton Rd, Wednesfield, Wton",
2011,Dudley,"Wolverhampton St, Dudley",
2011,Dudley,"Wolverhampton St, Dudley",
2012,NA,"Woodacre Rd, Erdington",
